agile_exp,scaled_agile_exp,business_unit,role,p6_lean_gov,p6_lean_gov_2,p6_value_stream,p6_prog_selection,p6_portfolio_opt,p6_strategy_funding,p7_pi_planning,p7_system_demo,p7_inspect_adapt,p7_cont_exploration,p7_cont_integration,p7_cont_deployment,p7_compliance,p7_release_demand,p8_delivery,p8_define,p8_build,p8_test,p8_deploy,i9_lean_gov,i9_value_stream,i9_prog_selection,i9_portfolio_opt,i9_strategy_funding,i10_pi_planning,i10_system_demo,i10_inspect_adapt,i10_cont_exploration,i10_cont_integration,i10_cont_deployment,i10_compliance,i10_release_demand,i11_delivery,i11_define,i11_build,i11_test,i11_deploy,s12_goals_met,s12_governance,s12_benefits_realise,s12_market_impact,s12_industry_impact,s12_competitive,s12_investor,s12_regulator,s12_portfolio_financial,s12_strategy_alignment,s12_product_balance,s12_product_success,s13_ownership_benefits,s13_benefit_alignment,s13_compliance,s13_strategy_align,s13_stakeholder_eng,s14_specs_met,s14_customer_accept,s14_cust_satisfaction,s14_schedule_budget,s14_product_used,s14_delivery,agile_exp_label,scaled_agile_exp_label,business_unit_label,role_label,overall_success
1,1,8,13,2,5,5,3,4,3,1,1,2,2,2,2,4,3,5,4,5,4,3,4,4,4,4,4,1,1,1,2,2,2,3,4,5,4,4,4,4,4,1,4,2,3,3,3,3,3,3,3,3,3,3,4,3,3.0,4.0,4.0,4.0,2.0,3.0,3.0,< 1 yr,< 1 yr,HR,Other,3.0869565217391304
1,1,1,13,4,3,4,3,3,3,1,2,2,2,3,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2.0,1.0,2.0,1.0,1.0,1.0,1.0,< 1 yr,< 1 yr,IT,Other,1.2173913043478262
2,1,10,13,4,4,5,4,3,4,3,4,4,4,3,4,5,5,5,5,5,5,5,4,4,5,5,5,4,3,3,4,4,4,4,3,4,4,5,5,4,3,3,3,4,3,4,3,4,2,4,4,4,4,3,4,4,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1–2 yrs,< 1 yr,Product,Other,3.4347826086956523
1,1,1,12,4,3,5,4,5,3,4,5,3,4,3,4,5,5,5,5,5,4,4,5,3,5,3,3,3,3,4,4,3,3,4,3,5,3,4,5,5,4,3,4,4,3,4,3,4,3,4,3,4,3,4,2,4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,< 1 yr,< 1 yr,IT,Architect,3.608695652173913
2,1,1,2,4,3,4,4,4,4,5,5,5,3,4,4,4,5,5,5,4,5,5,5,5,4,4,4,5,5,4,4,4,5,5,5,5,4,5,5,5,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1–2 yrs,< 1 yr,IT,Product Owner,3.6956521739130435
4,3,1,1,3,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3–5 yrs,2–3 yrs,IT,Scrum Master,2.739130434782609
6,6,1,11,4,3,3,4,4,3,4,4,3,4,4,3,4,5,5,5,4,3,4,5,4,3,4,3,3,4,5,4,3,3,4,5,5,5,5,4,3,4,3,3,4,3,2,2,3,4,4,2,3,3,3,2,2,2.0,2.0,2.0,3.0,4.0,3.0,2.0,8+ yrs,8+ yrs,IT,Business Analyst,2.8260869565217392
4,2,1,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3–5 yrs,1–2 yrs,IT,Tester/QA,3.0
5,3,10,1,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5–8 yrs,2–3 yrs,Product,Scrum Master,2.9565217391304346
1,1,10,8,2,3,4,4,4,5,4,3,3,4,5,3,5,4,5,4,3,4,4,5,4,5,4,4,5,4,3,4,3,3,5,4,4,4,4,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,4,3,3,2.0,4.0,3.0,4.0,4.0,3.0,4.0,< 1 yr,< 1 yr,Product,Portfolio Mgr,3.0
2,1,1,6,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1–2 yrs,< 1 yr,IT,Agile Coach,3.0
2,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1–2 yrs,< 1 yr,IT,Tester/QA,3.0
6,4,1,8,5,4,5,5,5,4,5,4,5,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,4,4,5,4,4,5,4,4,4,5,5,5,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3.0,4.0,3.0,3.0,2.0,3.0,3.0,8+ yrs,3–5 yrs,IT,Portfolio Mgr,3.0869565217391304
3,2,1,11,5,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2–3 yrs,1–2 yrs,IT,Business Analyst,3.0
1,1,1,13,5,3,4,4,3,3,4,4,3,4,3,4,3,4,4,3,3,4,3,3,3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,4,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,< 1 yr,< 1 yr,IT,Other,2.869565217391304
1,1,1,11,2,3,4,3,3,4,3,4,4,4,3,3,4,4,3,3,3,3,4,3,3,4,4,3,3,4,4,3,3,4,3,4,3,4,4,3,3,3,3,2,3,2,2,2,3,2,3,2,3,2,2,3,2,3.0,3.0,2.0,3.0,2.0,3.0,3.0,< 1 yr,< 1 yr,IT,Business Analyst,2.5217391304347827
4,3,1,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3–5 yrs,2–3 yrs,IT,Portfolio Mgr,3.0
1,1,1,2,2,4,3,4,5,4,4,4,4,4,4,5,4,4,5,5,5,5,5,4,3,3,4,4,5,4,4,4,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4.0,3.0,4.0,4.0,3.0,4.0,4.0,< 1 yr,< 1 yr,IT,Product Owner,3.8260869565217392
3,1,1,9,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2–3 yrs,< 1 yr,IT,Project Mgr,2.8260869565217392
1,1,1,2,2,2,3,5,4,5,3,5,4,5,2,4,4,5,5,3,4,5,5,3,5,3,4,4,3,5,4,3,3,5,4,4,5,4,3,5,4,4,3,3,2,3,2,4,3,4,2,3,4,3,1,3,3,2.0,4.0,4.0,4.0,4.0,3.0,4.0,< 1 yr,< 1 yr,IT,Product Owner,3.130434782608696
3,1,1,11,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2–3 yrs,< 1 yr,IT,Business Analyst,2.9565217391304346
5,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5–8 yrs,3–5 yrs,IT,Developer,2.9130434782608696
4,2,1,1,3,3,3,3,3,4,3,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,4,3,4,4,3,4,4,4,4,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3–5 yrs,1–2 yrs,IT,Scrum Master,2.8260869565217392
4,3,1,1,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3–5 yrs,2–3 yrs,IT,Scrum Master,2.9130434782608696
5,5,1,3,3,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,5,5,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5–8 yrs,5–8 yrs,IT,Developer,2.739130434782609
1,1,1,7,2,4,4,3,4,4,2,4,4,4,2,4,4,3,5,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2.0,3.0,4.0,4.0,3.0,3.0,3.0,< 1 yr,< 1 yr,IT,Release Train Eng,3.0434782608695654
1,1,11,8,2,5,4,4,4,4,3,4,3,4,4,4,5,3,5,4,4,5,3,5,4,4,4,4,4,4,3,4,3,4,4,3,5,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3.0,4.0,4.0,4.0,4.0,3.0,3.0,< 1 yr,< 1 yr,Other,Portfolio Mgr,3.347826086956522
2,1,1,2,5,5,5,5,5,4,3,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,5,5,4,5,5,5,5,5,4,3,4,4,3,3,3,3,4,4,3,4,3,4,4,4,3.0,4.0,3.0,3.0,4.0,4.0,4.0,1–2 yrs,< 1 yr,IT,Product Owner,3.5652173913043477
2,1,7,11,2,5,5,4,4,5,3,4,3,4,4,4,5,4,5,5,5,5,4,5,4,4,4,3,3,4,3,4,3,4,5,4,5,5,5,5,4,4,4,4,2,3,3,3,2,3,4,3,3,3,3,4,3,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1–2 yrs,< 1 yr,Operations,Business Analyst,3.1739130434782608
1,1,3,8,5,4,4,4,4,4,4,4,4,4,3,3,4,4,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,5,4,4,4,3,3,3,3,3,3,3,2,4,3,3,3,3,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.0,< 1 yr,< 1 yr,Finance,Portfolio Mgr,3.0869565217391304
2,1,7,11,2,5,4,4,4,5,4,4,4,4,4,3,5,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,3,4,5,4,5,5,5,5,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1–2 yrs,< 1 yr,Operations,Business Analyst,3.9130434782608696
2,2,1,8,3,5,4,5,4,4,4,4,5,4,4,4,5,3,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1–2 yrs,1–2 yrs,IT,Portfolio Mgr,3.130434782608696
1,1,7,4,2,5,4,4,4,4,4,4,5,5,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,< 1 yr,< 1 yr,Operations,Tester/QA,3.739130434782609
2,1,1,12,3,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,3,5,4,5,4,4,5,5,5,5,5,5,4,4,3,3,3,2,3,3,3,4,4,3,4,3,3,4,4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1–2 yrs,< 1 yr,IT,Architect,3.4782608695652173
1,1,3,7,2,5,5,5,5,5,4,4,4,4,4,4,5,4,5,4,4,5,4,5,4,4,4,4,3,4,4,4,4,4,5,4,5,5,5,5,4,3,3,4,3,3,3,3,2,3,4,4,3,4,4,4,4,3.0,4.0,4.0,4.0,4.0,3.0,3.0,< 1 yr,< 1 yr,Finance,Release Train Eng,3.4347826086956523
3,2,1,1,3,4,3,4,4,3,3,3,4,4,4,3,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,4,3,3,3,3,2,2,2,4,3,3,2,3,2,3,2,1.0,3.0,2.0,3.0,3.0,3.0,4.0,2–3 yrs,1–2 yrs,IT,Scrum Master,2.739130434782609
1,1,1,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,< 1 yr,< 1 yr,IT,Product Owner,2.0
2,1,1,12,2,3,3,3,3,4,3,4,2,3,4,5,4,4,4,3,4,3,3,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,1,2,2,1,3,2,3,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1–2 yrs,< 1 yr,IT,Architect,2.5217391304347827
3,2,1,13,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2–3 yrs,1–2 yrs,IT,Other,2.5652173913043477
3,7,1,13,2,2,4,3,3,4,2,4,4,5,1,1,3,1,3,3,3,3,3,4,4,3,3,4,3,4,4,3,4,3,3,3,5,4,5,5,4,3,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2–3 yrs,None,IT,Other,2.5217391304347827
6,6,3,13,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,2,5,5,4,3,3,3,2,2,2,2,2,1,3,2,2,2,1,2,2,1,2,2.0,2.0,2.0,1.0,2.0,1.0,1.0,8+ yrs,8+ yrs,Finance,Other,1.826086956521739
1,1,1,13,2,1,2,5,4,4,2,5,2,2,1,1,1,3,5,5,4,3,4,5,4,5,5,5,3,4,3,4,1,1,3,4,5,3,4,5,5,4,4,3,4,4,2,4,2,4,4,4,4,4,4,4,4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,< 1 yr,< 1 yr,IT,Other,3.739130434782609
6,2,1,2,5,4,3,4,4,4,4,3,3,4,2,5,5,5,5,4,4,4,4,4,4,3,4,4,4,3,4,5,5,5,5,4,4,4,4,5,5,2,2,2,2,3,1,1,1,2,2,3,2,2,2,3,3,3.0,2.0,3.0,2.0,2.0,2.0,2.0,8+ yrs,1–2 yrs,IT,Product Owner,2.130434782608696
2,1,1,13,4,4,2,4,3,4,4,3,3,4,4,4,4,2,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1–2 yrs,< 1 yr,IT,Other,2.6956521739130435
1,1,1,13,5,1,1,1,1,1,2,2,1,2,1,1,2,2,3,5,5,3,2,1,1,1,1,1,2,2,1,2,1,1,1,1,4,5,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,4.0,4.0,1.0,1.0,2.0,2.0,< 1 yr,< 1 yr,IT,Other,1.3478260869565217
